Common Name,Scientific Name,Order,Clade,Family
Surf Scoter,Melanitta perspicillata,Anseriformes,Clade 2.3.4.4b,
Swan Goose,Anser cygnoides,Anseriformes,Clade 2.3.4.4b,
Trumpeter Swan,Cygnus buccinator,Anseriformes,Clade 2.3.4.4b,
Tufted Duck,Aythya fuligula,Anseriformes,Clade 2.3.4.4b,
Tundra Swan,Cygnus columbianus,Anseriformes,Clade 2.3.4.4b,
Upland Goose,Chloephaga picta,Anseriformes,Clade 2.3.4.4b,
Whistling Swan,Cygnus columbianus columbianus ,Anseriformes,Clade 2.3.4.4b,
White Winged Scoter,Melanitta deglandi,Anseriformes,Clade 2.3.4.4b,
Whooper Swan,Cygnus cygnus,Anseriformes,Prior,
Wood Duck,Aix sponsa,Anseriformes,Clade 2.3.4.4b,
Yellow-billed Duck,Anas undulata,Anseriformes,Prior,
Black Swift,Cypseloides niger,Apodiformes,Clade 2.3.4.4b,
Alpaca,Vicugna pacos,Artiodactyla,Clade 2.3.4.4b,Camelidae
Atlantic White-Sided Dolphin,Lagenorhynchus acutus,Artiodactyla,Clade 2.3.4.4b,Delphinidae
Bottlenose Dolphin,Tursiops truncatus,Artiodactyla,Clade 2.3.4.4b,Delphinidae
Burmeister's Porpoise,Phocoena spinipinnis,Artiodactyla,Clade 2.3.4.4b,Phocoenidae
Dairy Cow,Bos taurus,Artiodactyla,Clade 2.3.4.4b,Bovidae
Goat,Capra hircus,Artiodactyla,Clade 2.3.4.4b,Bovidae
Swine,Sus scrofa,Artiodactyla,Clade 2.3.4.4b,Suidiae
Yak,Bos grunniens,Artiodactyla,Clade 2.3.4.4b,Bovidae
Black Bear,Ursus americanus,Carnivora,Clade 2.3.4.4b,Ursidae
Bobcat,Lynx rufus,Carnivora,Clade 2.3.4.4b,Felidae
Chungungo (Marine Otter),Lontra felina,Carnivora,Clade 2.3.4.4b,Mustelidae
Civet Cat,Viverricula indica,Carnivora,Clade 1,Viverridae
Coyote,Canis latrans,Carnivora,Clade 2.3.4.4b,Canidae
Dog,Canis lupus familiaris,Carnivora,Clade 2.3.4.4b,Canidae
Northern Elephant Seal,Mirounga angustirostris,Carnivora,Clade 2.3.4.4b,Phocidae
