Common Name,Scientific Name,Order,Clade,Family
Humboldt Penguin,Spheniscus humboldti,Sphenisciformes,Clade 2.3.4.4b,
Magellanic Penguin,Spheniscus magellanicus,Sphenisciformes,Clade 2.3.4.4b,
Penguin,Spheniscidae spp.,Sphenisciformes,Clade 2.3.4.4b,
Barred Owl,Strix varia,Strigiformes,Clade 2.3.4.4b,
Burrowing Owl,Athene cunicularia,Strigiformes,Clade 2.3.4.4b,
Common Barn Owl,Tyto alba,Strigiformes,Clade 2.3.4.4b,
Eastern Screech Owl,Megascops asio,Strigiformes,Clade 2.3.4.4b,
Eurasian Eagle Owl,Bubo bubo,Strigiformes,Clade 2.3.4.4b,
Great Grey Owl,Strix nebulosa,Strigiformes,Clade 2.3.4.4b,
Great Horned Owl,Bubo virginianus,Strigiformes,Clade 2.3.4.4b,
Long Eared Owl,Asio otus,Strigiformes,Clade 2.3.4.4b,
Tropical Screech-Owl,Megascops choliba,Strigiformes,Clade 2.3.4.4b,
Short Eared Owl,Asio flammeus,Strigiformes,Clade 2.3.4.4b,
Snowy Owl,Bubo scandiacus,Strigiformes,Clade 2.3.4.4b,
Western Screech Owl,Megascops kennicottii,Strigiformes,Clade 2.3.4.4b,
Ostrich,Struthio camelus,Struthioniformes,Clade 2.3.4.4b,
Brown Booby,Sula leucogaster,Suliformes,Clade 2.3.4.4b,
Cormorant,Phalacrocorax carbo ,Suliformes,Clade 2.3.4.4b,
Double Crested Cormorant,Nannopterum auritum,Suliformes,Clade 2.3.4.4b,
European Shag,Gulosus aristotelis,Suliformes,Clade 2.3.4.4b,
Great Cormorant,Phalacrocorax carbo,Suliformes,Clade 2.3.4.4b,
Guanay Cormorant,Leucocarbo bougainvillii,Suliformes,Clade 2.3.4.4b,
Magnificent Frigatebird,Fregata magnificens,Suliformes,Clade 2.3.4.4b,
Neotropic Cormorant,Nannopterum brasilianus,Suliformes,Clade 2.3.4.4b,
Northern Gannet,Morus bassanus,Suliformes,Clade 2.3.4.4b,
Pelagic Cormorant,Phalacrocorax pelagicus,Suliformes,Clade 2.3.4.4b,
Peruvian Booby,Sula variegata,Suliformes,Clade 2.3.4.4b,
Blue-footed Booby,Sula nebouxii,Suliformes,Clade 2.3.4.4b,
